building,startDebt
1000,3762721
1001,26895326
1100,93508
1102,3974663
1103,3824439
1104,18227409
1201,0
1203,0
1204,657228
1205,0
1208,0
1209,13746881
1210,1807294
1211,2625983
1212,3657839
1213,3336213
1301,6620727
1302,14471185
1303,0
1304,24730192
1305,0
1306,0
1307,1896571
1401,16277797
1402,0
1404,4630851
1405,0
1501,6281530
1502,0
1503,10703422
1505,5007449
1507,4326905
1509,0
1601,0
1602,63538333
1603,71701553
1604,22500000
1701,9426558
1702,0
1703,22756500
1704,55266476
1801,0
1802,0
1803,0
1901,0
1902,0
2101op,33203884
2101dev,10616505
2102,71100000
2201,0
2202,0
2203,0
2204,0
2205,0
2301,0
2302,0
2303,0
2304,0
2305,0
2401,0
2402,0
2501,0
5101,0
5103,40099344
5104,45921685
5105,1944923
5106,57000000
5107,0
5110,104500000
5111,48675344
