As Of Date,Property Id,Property Code,Property Name,Floor Code,Floor Description,Unit Id,Code,Unit Type Code,Unit Type Description,Current Tenant Id,Current Tenant Code,Current Tenant Name,Current Amendment Id,Current Amendment Type,Current Amendment Lease From,Current Amendment Lease To,Current Amendment Move In,Current Amendment Move Out,Current Occupancy Expiry,Next Termination Option Lessee,Area - Default,Occupied Area,Area - Lease Area,Area - BOMA,Area - Parking Stall,Area - Storage Area,Area - Signage,Area - Basement Area,Area - Yard Area,Monthly Rent,Monthly Rent per Area - Default,Monthly Rent per Area - Lease Area,Monthly Rent per Area - BOMA
2026-08-07,2,1102,333 East Broadway,1,,3,325,RET,Retail,1626,t0000184,Ridge Blvd Pizza Limited,13437,Renewal,2022-11-01 0:00,2032-01-31 0:00,2022-11-01 0:00,,2032-01-31 0:00,,1124,1124,1124,1124,0,0,0,0,0,3465.67,3.083336299,3.08,3.08
2026-08-07,2,1102,333 East Broadway,1,,4,327,RET,Retail,1626,t0000184,Ridge Blvd Pizza Limited,13438,Renewal,2022-09-01 0:00,2032-01-31 0:00,2022-09-01 0:00,,2032-01-31 0:00,,1281,1281,1281,1281,0,0,0,0,0,3949.75,3.083333333,3.08,3.08
2026-08-07,2,1102,333 East Broadway,1,,5,329,RET,Retail,8575,t0000564,Big 10 Media Corp.,13356,Original Lease,2022-02-01 0:00,2027-01-31 0:00,2022-02-01 0:00,,2027-01-31 0:00,,1356,1356,1356,1356,0,0,0,0,0,3955,2.916666667,2.92,2.92
2026-08-07,2,1102,333 East Broadway,1,,7,335,RET,Retail,1627,t0000185,**Field Trip Hair Inc.,239,Original Lease,2017-06-01 0:00,2027-05-31 0:00,2017-05-01 0:00,,2027-05-31 0:00,,1262,1262,1262,1262.35,0,0,0,0,0,3786,3,3,3
2026-08-07,2,1102,333 East Broadway,1,,8,337,RET,Retail,39193,t0000774,H3R Nails Lounge Inc. ,78714,Original Lease,2025-11-01 0:00,2030-10-31 0:00,2025-11-01 0:00,,2030-10-31 0:00,,1044,1044,1044,1044,0,0,0,0,0,3219,3.083333333,3.08,3.08
2026-08-07,2,1102,333 East Broadway,1,,9,339,RET,Retail,8576,t0000565,Edwin Lau Chiropractic Corp.,13358,Original Lease,2022-01-01 0:00,2026-12-31 0:00,2022-01-01 0:00,,2026-12-31 0:00,,831,831,831,831,0,0,0,0,0,2493,3,3,3
2026-08-07,17,1104,21 Water,1,,20,19,RET,Retail,752,t0000071,Aesop Canada Inc.,78647,Renewal,2025-06-01 0:00,2030-05-31 0:00,2025-06-01 0:00,,2030-05-31 0:00,,616,616,616,0,0,0,0,0,0,3850,6.25,6.25,
2026-08-07,13,1210,108/110 West Hastings,-1,,60,50,RET,Retail,32424,t0000680,SANTO TACO INC,64945,Original Lease,2024-12-01 0:00,2029-11-30 0:00,2024-03-01 0:00,,2029-11-30 0:00,,2471,2471,2471,0,0,0,0,0,0,0,0,0,
2026-08-07,22,1305,855 East Hastings,1,,110,GROUND,RET,Retail,9206,t0000576,1343562 B.C. LTD.,14638,Original Lease,2022-09-01 0:00,2027-08-31 0:00,2022-06-01 0:00,,2027-08-31 0:00,,2731,2731,2731,0,0,0,0,0,0,3413.75,1.25,1.25,
2026-08-07,32,1503,1 Alexander,-1,,150,10,RET,Retail,734,t0000053,**Sojo2 Holdings Inc.,93182,Renewal,2026-03-01 0:00,2030-05-31 0:00,2026-03-01 0:00,,2030-05-31 0:00,,3656.66,3656.66,3656.66,0,0,0,0,0,0,7618.04,2.083332878,2.08,
2026-08-07,118,1602ret,887 Great Northern Way - Retail,1,,390,897,RET,Retail,9303,t0000585,C1933 Liquor Inc. DBA Verve Liquor Inc,14763,Original Lease,2022-10-01 0:00,2032-09-30 0:00,2022-10-01 0:00,,2032-09-30 0:00,,1137,1137,1137,1137,0,0,0,0,0,4737.5,4.166666667,4.17,4.17
2026-08-07,4,1201,828 East Hastings,1,,1,GROUND,,,,,,,,,,,,,,7500,0,7500,0,0,0,0,0,0,0,0,0,
2026-08-07,17,1104,21 Water,-1,,16,STO.2,,,,,,,,,,,,,,0,0,0,0,0,190,0,0,0,0,0,,
2026-08-07,17,1104,21 Water,6,,31,600,OFF,Office,753,t0000072,House of Wilson LTD.,39534,Renewal,2023-07-01 0:00,,2023-07-01 0:00,,,,8345,8345,8345,8853,0,0,0,0,0,31293.75,3.75,3.75,3.53
2026-08-07,7,1204,868 East Hastings,2,,36,2NDFLR,,,1875,t0000264,**Secret Garden Goods Inc.,93758,Renewal,2026-05-01 0:00,2027-04-30 0:00,2026-05-01 0:00,,2027-04-30 0:00,,1329,1329,1329,0,0,0,0,0,0,0,0,0,
2026-08-07,3,1103,780 East Cordova,1,,37,GROUND,,,697,t0000018,"Laser Cutter Cafe Inc., dba Makerlabs",349,Renewal,2022-07-01 0:00,2027-06-30 0:00,2022-07-01 0:00,,2027-06-30 0:00,,15273,15273,15273,0,0,0,0,0,0,20364,1.333333333,1.33,
2026-08-07,6,1203,852 East Hastings,1,,40,100,,,33085,t0000688,TradeMango Retail Solutions Inc.,78652,Renewal,2025-08-01 0:00,2030-07-31 0:00,2025-08-01 0:00,,2030-07-31 0:00,,4176,4176,4176,0,0,0,0,0,0,8700,2.083333333,2.08,
2026-08-07,21,1304,1770 West 7th,4,,100,417,,,4855,t0000557,ABDERA THERAPEUTICS (CANADA) ULC,93184,Renewal,2026-03-01 0:00,2027-02-28 0:00,2026-03-01 0:00,,2027-02-28 0:00,,1217,1217,1217,0,0,0,0,0,0,4259.5,3.5,3.5,
2026-08-07,31,1502,1638 West 3rd,1,,120,GROUND,,,8600,t0000571,Cosentino Canada Inc.,13371,Original Lease,2022-06-01 0:00,2032-05-31 0:00,2022-02-01 0:00,,2032-05-31 0:00,,4510,4510,4510,0,0,0,0,0,0,17476.25,3.875,3.88,
2026-08-07,25,1401,1618 Station,4,,130,4THFLR,,,688,t0000009,Stemcell Technologies Canada Inc.,14,Expansion,2012-10-01 0:00,2029-12-31 0:00,2012-10-01 0:00,,2029-12-31 0:00,,17497,17497,17497,0,0,0,0,0,0,39003.73,2.229166714,2.23,
2026-08-07,23,1306,877 East Hastings,2,,138,201,,,2366,t0000398,Marianne Amodio & Harley Grusko Architects Inc.,64948,Renewal,2024-08-01 0:00,2029-07-31 0:00,2024-08-01 0:00,,2029-07-31 0:00,,1351,1351,1351,1351,0,0,0,0,0,2814.58,2.083330866,2.08,2.08
